finale,"n. 结局, 最后乐章, 终曲"
marginally,"adv. 记在页边, 有旁注, 边缘, 边沿地区, 边际, 限界, 勉强够格, 无关紧要, 少量"
concoct,"vt. 调合, 捏造, 编造
[建] 调制, 混合"
looting,"v. 抢劫, 掠夺( loot的现在分词 )"
horsepower,"[计] 马力
[经] 马力"
scallop,"n. 扇贝
vt. 用扇贝状碟烘烤
vi. 拾扇贝"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
respectfully,adv. 尊敬地
fateful,"a. 宿命的, 重大的, 决定性的"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
agonizing,"a. 折磨人的, 痛苦难忍的"
missed,v. 投偏；未抓住；错过（miss的过去分词）
elite,"n. 精华, 精锐, 中坚分子"
speaking,"n. 谈话；语言；传说
adj. 说话的；逼真的；雄辩的
v. “speak”的现在分词
[网络] 口语；发言的；我就是"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
taco,n. 墨西哥煎玉米卷；[美俚]墨西哥人
pop,[网络] 相纸，打印纸
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
[计] 填充"
blitz,"n. 闪电战
vt. 以闪电战攻击"
underdog,"斗输的狗;失败者,受压迫者"
sunflower,n. 向日葵
ledger,"n. 分类帐, 分户总帐, 盖墓石板, 横木
[经] 分户帐, 分类帐"
one-quarter,[网络] 四分之一；一季度；一学季
mania, …狂；…癖
admonish,"vt. 警告, 劝告, 训诫, 告诫"
emerald,"n. 翡翠, 绿宝石, 翠绿色
a. 翡翠的, 翠绿色的"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
passageway,通道，通路
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
[计] 空闲时间"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
multivariate,[网络] 多变量
aptitude,"n. 资质, 才能, 自然倾向
[医] 资质, 才能"
immersion,"n. 沉浸, 专心, 陷入
[医] 浸, 浸渍"
hard-liner,n. 不妥协者
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
appease,"vt. 抚慰, 缓解, 平息, 姑息
[法] 使和缓, 使满足, 姑息"
emigration,"n. 移民, 移居外国(或外地)
[医] 血细胞渗出"
daisy,"n. 雏菊, 一流人物
a. 第一流的"
skyrocket,"un. 高空探测火箭
[网络] 天空火箭；火箭消费；天香"
healthful,"a. 有益健康的, 使人健康的, 卫生的
[法] 有益健康的, 健康的, 卫生的"
marinade,"n. 腌泡汁
vt. 腌泡"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
[计] 故障"
jargon,"n. 专门术语, 行话, 梦话, 土语
[计] 行话"
senseless,"a. 无感觉的, 无意识的, 不省人事的"
plow,"n. 犁
v. 犁, 耕"
tentacle,"n. 触须, 触手, 触角
[医] 触角, 触须"
pagan,"n. 异教徒, 无宗教信仰者
a. 异教的, 异教徒的"
unwillingness,n. 不情愿；不愿意
sub-Saharan,"adj. 撒哈拉沙漠以南的
[网络] 撒哈拉以南；非洲撒哈拉沙漠以南；撒哈拉以南地区"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
obscurity,"n. 阴暗, 朦胧, 晦涩, 费解, 身份低微"
arduous,"a. 费力的, 努力的, 险峻的"
billow,"n. 巨浪
vi. 象巨浪般汹涌, 象巨浪般波动
vt. 使翻腾"
cartilage,"n. 软骨
[医] 软骨"
unforgettable,"a. 忘不了的, 令人难忘的"
cinematic,"a. 电影的, 影片的"
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
detractor,"n. 毁损者, 贬低者"
defuse,vt. 平息；去掉…的雷管；使除去危险性
firewood,木柴
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
polo,"n. 马球, 水球"
toad,"n. 蟾蜍, 癞蛤蟆, 讨厌的家伙"
securely,adv. 安全地；安心地；牢固地；有把握地
blindly,"adv. 轻率地, 盲目地"
excitedly,adv. 兴奋地
incarcerate,"vt. 下狱, 监禁, 禁闭
[法] 监禁, 使下狱, 禁闭"
calculated,"a. 有计划的, 适当的, 适合的, 计算出的
[机] 算清了的"
whirlwind,旋风
overriding,(over-ride 的现在分词) vi. 搁置
moderator,"n. 主席, 会议主持人, 仲裁人
[计] 筛选人"
objectively,adv. 客观地
crotch,"n. 分叉处, 丫叉, 胯部"
finalize,"vt. 使结束, 定稿
vi. 定局"
psychotherapy,"n. 精神疗法, 心理疗法
[医] 精神疗法, 心理疗法"
priceless,"a. 无价的, 极贵重的"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
stealth,"n. 秘密行动, 秘密, 鬼祟
[法] 秘密行动, 鬼祟"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
[化] 光行差; 像差"
front-page,"标题版, 头版"
technologically,adv. 技术上地；科技地
hunk,"n. 大块
a. 行的, 好的"
incision,"n. 切口, 切割, 雕刻, 切入
[医] 切口, 切开, 缺口(叶)"
two-time,"v. 〈非正式〉欺骗；对…不忠；脚踏两只船
adj. 两次的
n. 【乐】二拍子
[网络] 拍拍手；二人时间；双响"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
transmitted,v. 传输；传送（transmit的过去分词）
crossover," 横[越]过（河等）, 穿过（道路、屋子等）; <主英>改变立场; 投诚"
epitomize,"vt. 摘要, 概括"
bedrock,"基岩, 基岩；底岩"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
chi,[网络] 气；起；中国字的音译
indulgence,"n. 沉溺, 放纵, 嗜好
[法] 宽容, 纵容, 赎罪券"
dreamy,"a. 空幻的, 梦想的"
fungal,"a. 真菌, 突然发生而迅速生长的东西, 真菌类植物, 海绵肿, 真菌类病害
[医] 真菌的, 霉菌的"
irritating,"a. 刺激的, 使愤怒的, 气人的"
bisexual,adj. 两性的；雌雄同体的
differential,"a. 差别的, 特异的, 微分的
n. 差别, 两路线运费差额, 工资差额"
Byzantine,"a. 拜占庭帝国的, 拜占庭式的"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
legislate,"vi. 制定法律
vt. 用立法规定"
workable,"a. 可经营的, 可使用的
[机] 能工作的, 机械等能使用的, 材料等可加工的"
tarp,"n. (=tarpaulin)防水布, 油布"
creak,"n. 辗轧声, 嘎吱嘎吱声
vi. 作辗轧声, 发出辗轧声"
pounce,"n. 猛扑, 爪
vi. 猛扑, 突袭
vt. 扑住"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
propeller,"n. 螺旋桨, 推进器
[化] 搅拌叶片; 螺旋桨"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
duel,"n. 决斗, 斗争
vi. 决斗"
calamity,"n. 灾难, 不幸事件"
muzzle,"n. 动物之鼻口, 口套, 枪口
vt. 戴口套于, 使缄默"
tragically,"adv. 悲剧地, 悲惨地"
conclusive,"a. 决定性的, 确定性的, 最后的
[法] 决定性的, 不容置疑的, 确实的"
goodies,"n. 特别吸引人的东西, 糖果, 好吃的东西, 美味的食品, 令人愉快的东西"
carnival,"n. 嘉年华会, 狂欢节, 饮宴狂欢"
revolving,"a. 回转的, 旋转的, 旋转式的
[经] 循环, 周转"
transgression,"n. 违反, 犯罪
[医] 亲和转移"
decreasing,[计] 下降的
tundra,"n. 苔原, 冻原"
bombardment,"n. 炮击
[化] 轰击"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
high-powered,高功率的；马力大的
ammonia,"n. 氨水, 阿摩尼亚
[化] 氨"
punt,"n. 方头平底船, 踢悬空球, 赌博者
v. 踢悬空球, 用篙撑船, 赌博"
intolerable,"a. 无法忍受的, 难耐的"
heartbreaking, 额蹙心痛；悲辛
connector,"n. 连结者, 联系者, 连结物
[计] 连接口"
Mormon,n. 摩门教徒
taxable,"a. 可征税的, 应征税的
[经] 可征税的, 应纳税的"
diving,"n. 潜水, 跳水"
spruce,"n. 云杉
a. 颇为干净的, 俏的, 整洁的
v. (使)显干净, 打扮整齐"
authorized,"a. 经认可的, 经授权的
[法] 委任的, 核准的, 许可的"
stepmother,继母
thereof,"adv. 在其中, 关于..., 由此
[法] 由是, 由此, 属于它的"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
suitor,"n. 起诉者, 请愿者, 求婚者
[法] 起诉人, 原告, 求婚者"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
cyclical,环的，周期性的
helplessly,adv. 无能为力地；无助地
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
excessively,"adv. 过多, 极度, 过度, 过分"
symbolically,adv. 象征性地
tantrum,"n. 发脾气, 发怒
[医] 暴怒, 发脾气"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
prize-winning,"adj. 得奖的
[网络] 获奖成果；奖状"
metaphorical,"a. 隐喻性的, 比喻性的"
hallucination,"n. 幻觉, 幻想
[医] 幻觉"
Philippine,"a. 菲律宾(群岛)的, 菲律宾人的"
hurtle,"vi. 猛冲, 碰撞, 突进
vt. 猛撞, 猛投
n. 投掷, 碰撞, 碰撞声"
astonish,vt. 使惊讶
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
flickering,"a. 闪烁的, 摇曳的, 微弱的
[计] 闪烁"
captor,"n. 捕捉者, 逮捕他人者
[法] 捕获者, 夺得者, 攻夺者"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
irregularity,"n. 不规则, 例外, 违反规则的行为
[化] 不匀度"
horizontally,[计] 水平置中
aloft,"adv. 在高处, 在上"
goofy,"a. 愚笨的, 傻瓜的"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
[计] 不可逆的"
unreal,"a. 假的, 虚构的, 不真实的, 幻想的"
escalation,"n. 扩大, 增加
[经] 调查, 价格调整"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adv. 更好的；更多的；较大程度地
adj. 较好的
vt. 改善；胜过
vi. 变得较好
n. (Better)人名；(西、瑞典、德)贝特尔"
lighthouse, 灯室，灯塔，灯台
floppy,"a. 叭嗒叭嗒响的, 松软的"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
insulting,"a. 侮辱的, 损害人体的"
bleachers,n. 漂白剂（bleacher的复数形式）；（美）露天看台
westward,[网络] 狂野西部
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
explanatory,"a. 说明的, 解释的, 辩明的
[法] 解释的, 说明的"
watering,"n. 洒水, 冲淡, 搀水, 供水, 浇水, 灌溉, 排水渠
[经] 虚报, 冲淡, 掺水"
wildfire,野火
bookcase,n. 书柜
sailboat,n. 帆船
potter,"n. 陶工, 制陶工人"
splinter,"n. 碎片, 尖片, 分裂出来的小派别, 微小的东西
v. 使分裂, (使)破裂"
ecumenical,"a. 一般的, 普遍的, 全基督教的, 泛基督教主义的"
drained,"v. （使）流干, （使）逐渐流走( drain的过去式和过去分词 ); 喝光, 喝干; 使（精力、金钱等）耗尽"
son-in-law, [电影]宝贝新官人
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
accuser,"n. 控诉者, 指责者
[法] 原告, 指控人, 控告者"
pinnacle,"n. 小尖塔, 尖峰, 高峰, 极点
vt. 造小尖塔, 置于尖顶上"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
[计] 取消权限程序"
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
compilation,"n. 编辑, 编纂, 编辑(编纂)物
[计] 编译"
forgo,"vt. 摒绝, 放弃"
dizzying,a. 令人昏乱的；极快的；灿烂的
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
manifesto,"n. 宣言, 声明"
transatlantic,n. 跨大西洋的
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
puberty,"n. 青春期, 春情发动期
[医] 青春期(12-17岁)"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
[化] 摆"
reverberate,"vi. 回响, 反响, 被反射
vt. 使反响, 使回响, 反射
a. 回响的, 反射的"
silicone,"n. 硅树脂
[化] 硅氧烷; 聚硅氧烷"
bumpy,"a. 颠簸的, 崎岖不平的"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
embellish,"vt. 修饰, 装饰, 润色"
downfall,"n. 衰败, 大雨"
laden,adj. 装载的；与名词连用形成形容词指有很多特定事情或性质的；comb
appreciative,"a. 有欣赏力的, 感激的"
steamy,"a. 蒸汽的, 充满蒸汽的"
reintroduce,vt. 再引入；再提出；再介绍
twelfth,"num. 第十二, 十二分之一"
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
euphoria,"n. 兴奋, 陶醉, 陶醉感
[医] 精神愉快, 欣快"
shank,"n. 胫, 腿骨, 杆, 柄
vt. 用铁球棒末端击球
vi. 花从病梗上枯萎脱落"
unnerve,"vt. 使失去勇气, 使胆怯, 使不能自制
[医] 除神经"
vacate,"vt.vi. 使空出, 搬出, 腾出, 不再使用/居住, 解除(职位), 撤离(阵地), 辞职, 退位
vt. 取消, 使作废"
undue,"a. 不适当的, 过度的, 未到期的
[经] 未到(支付)期的"
soggy,"a. 浸水的, 沉闷的
[化] 欠硫; 硫化不足"
erroneous,"a. 错误的, 不正确的
[法] 错误的, 不正确的"
influenza,"n. 流行性感冒
[医] 流行性感冒, 流感"
melted,melt的过去式和过去分词
detergent,"n. 清洁剂
[化] 洗涤剂"
aperture,"n. 孔, 缝隙, 孔径
[计] 窗孔; 小孔"
ta,abbr. [俚语]tits and ass；tonsillectomy and adenoidectomy [亦作 T and A]
provocation,"n. 激怒, 刺激, 挑拨
[医] 激发[作用]"
covet,"v. 妄想, 垂涎"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
sweetly,"adv. 甜美地, 惬意地, 讨人喜欢地"
underwrite,"vt. 给...保险；承诺支付；签在...下
vi. 经营保险业"
tumultuous,"a. 吵闹的, 纷乱的, 骚乱的
[法] 喧嚣的, 骚乱的, 凶猛的"
Medicaid,"n. 医疗补助方案, 医疗补助项目
[法] 公费医疗补助制, 医疗保健业, 医疗补助方案"
gnaw,"v. 咬, 啃, 侵蚀, 消耗, 折磨"
enlightenment,"n. 启迪, 教化"
fright,"n. 惊骇, 吃惊
[医] 惊吓"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
[计] 层叠, 级联"
handwritten,[网络] 手书；手写文字；手写的
wide-eyed,"adj. 睁大眼睛的
[网络] 睁大眼睛看吧；放眼望去"
trump,"n. 王牌, 法宝, 喇叭
vt. 打出王牌赢, 胜过
vi. 出王牌, 吹喇叭"
gridlock,"n. 交通全面大堵塞; 僵局
v. （交通等）堵塞"
atheist,n. 无神论者
fauna,"n. 动物群
[医] 动物区系"
femininity,"n. 妇女特质, 温柔, 柔弱性
[医] 女子本性, 女性, 女子气"
pocketbook,"n. 小笔记簿, 袖珍普及本"
peg,[医] 气脑造影术
knowing,"a. 博学的, 聪颖的, 精明的"
sheath,"n. 鞘, 叶鞘, 翅鞘
[化] 护套"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
simmering,"v. 炖, 慢煮( simmer的现在分词 ); 充满势将爆发的（怒气等）"
exhilarating,"a. 令人喜欢的, 使人愉快的, 爽快的"
glaring,"a. 闪耀的, 炫目的, 瞪视的"
loathe,"vt. 厌恶, 憎恶"
veal,"n. 小牛肉
vt. 宰小牛"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
refinance,[网络] 再融资；贷款；重新贷款
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
inseparable,"a. 不能分的
[化] 不可分的"
clamber,"n. 攀登, 爬上
v. 爬上, 攀登"
enactment,"n. 制定, 条例, 法规, 法令, 颁布, 规定
[法] 制定, 规定, 颁布"
unilaterally,[计] 单侧地
baron,[网络] 巴昂；巴翁
nook,"n. 角落, 躲蔽处, 隐匿处, 凹处"
detonate,"vt. 引爆, 使爆炸, 使爆裂
vi. 爆炸, 发爆炸声"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
millimeter,[网络] 公厘
replay,[网络] 重放；重复使用；影音重播
logger,"n. 樵夫, 圆木装车机
[计] 记录器; 注册器; 登记器"
Jesuit,"n. 耶稣会信徒, 阴险的人, 阴谋家"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
entrenched,"a. 牢固的, 根深蒂固的"
utensil,"n. 器皿, 用具"
honk,"n. 雁鸣, 汽车的喇叭声
vi. 雁鸣叫, 按汽车喇叭
vt. 揿(喇叭)"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
[医] 无斑点, 无瑕疵的, 洁净的"
substantiate,"vt. 使实体化, 证实
[经] 确证"
flaming,"a. 燃烧的, 热烈的, 色彩鲜明的"
intervening,"[计] 中间的, 插入的"
glitch,[计] 假信号
MBA,[网络] 工商管理硕士；工商管理硕士研究生；工商管理硕士学位
full-blown,完全成熟的；充分发展的
countertop,柜台面
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
overtly,"adv. 明显地；公开地, 公然地"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
momentous,"a. 重大的, 重要的"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
insightful,"a. 有深刻见解的, 富有洞察力的"
auction,"n. 拍卖
vt. 拍卖"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
individualized,"v. 赋予个性, 个别地加以考虑( individualize的过去式和过去分词 )"
selectively,adv. 有选择地
captivate,"vt. 迷住, 迷惑"
chimpanzee,"n. 黑猩猩
[医] 黑猩猩"
bathing,"n. 游泳, 洗海水澡"
vibe,n. 感应
start-up,"突然站起, 突然出现, 发动, 开动"
binge,"n. 狂闹, 狂欢"
stucco,"n. 粉饰灰泥
vt. 涂以灰泥, 粉刷"
foggy,"a. 雾深的, 模糊的"
apprenticeship,"n. 学徒身分, 见习(期)
[经] 学徒制, 学徒期"
adherent,"n. 信徒, 追随者
a. 附着的, 发生联系的"
spam,abbr. Spanish America；Spanish Americian
homestead,"n. 家园, 田产
[法] 宅基地, 住宅"
checkup,"核对, 检查
[经] 检查, 查对"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
[医] 悲观主义"
unnecessarily,"adv. 不必要地, 多余地"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
[法] 父系的, 父亲的"
registry,"n. 登记处, 登记名册
[计] 登录库"
pimp,"n. 皮条客, 男妓, 恶棍, 窥探情人者, 告密者
vi. 拉皮条, 告密"
experimenter,"n. 实验者, 试验者"
pointedly,adv. 指向地；尖锐地
antics,"n. 滑稽动作, 古怪姿态"
nurturing,v. 养育( nurture的现在分词 ); 培育; 滋长; 助长
oftentimes,adv. 时常地
victor,"n. 胜利者
a. 胜利的"
amputation,"n. 切断, 截肢术
[医] 切断术"
hasty,"a. 匆匆的, 轻率的, 性怠的"
rumor,"n. 谣言, 传闻
vt. 谣传"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
binder,"n. 捆缚者, 用以绑缚之物, 活页夹
[化] 粘结剂"
